S_index,pattern_finder,induced_motifs
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,1
12,1,1
13,1,1
14,1,1
15,0,1
16,0,1
17,1,1
18,1,1
19,1,1
20,0,1
21,1,1
22,1,1
23,1,1
24,0,1
25,0,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,0,1
33,0,1
34,0,1
35,0,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,0,1
42,1,1
43,0,1
44,0,1
45,1,1
46,1,1
47,1,1
48,0,1
49,0,1
50,0,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,0,1
58,0,1
59,1,1
60,0,1
61,1,1
62,0,1
63,0,1
64,1,1
65,0,1
66,0,1
67,1,1
68,0,1
69,0,1
70,0,1
71,0,1
72,0,1
73,1,1
74,0,1
75,0,1
76,0,1
77,1,1
78,0,1
79,1,1
80,0,1
81,1,1
82,1,1
83,0,1
84,0,1
85,1,1
86,1,1
87,0,1
88,0,1
89,0,1
90,1,1
91,0,1
92,1,1
93,0,1
94,1,1
95,0,1
96,1,1
97,1,1
98,1,1
99,0,1
100,1,1
101,0,1
102,1,1
103,1,1
104,0,1
105,0,1
106,1,1
107,1,1
108,0,1
109,0,1
110,1,1
111,0,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,0,1
118,0,1
119,0,1
120,1,1
121,1,1
122,0,1
123,1,1
124,1,1
125,1,1
126,0,1
127,1,1
128,0,1
129,0,1
130,0,1
131,0,1
132,0,1
133,1,1
134,1,1
135,0,1
136,1,1
137,1,1
138,1,1
139,1,1
140,0,1
141,1,1
142,1,1
143,0,1
144,1,1
145,0,1
146,0,1
147,1,1
148,1,1
149,0,1
150,1,1
151,1,1
152,0,1
153,0,1
154,0,1
155,1,1
156,1,1
157,0,1
158,0,1
159,1,1
160,0,1
161,0,1
162,1,1
163,1,1
164,1,1
165,0,1
166,1,1
167,1,1
168,1,1
169,0,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,0,1
177,0,1
178,0,1
179,0,1
180,1,1
181,1,1
182,0,1
183,0,1
184,1,1
185,0,1
186,1,1
187,1,1
188,0,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,0,1
197,1,1
198,0,1
199,0,1
200,1,1
201,1,1
202,1,1
203,0,1
204,0,1
205,1,1
206,1,1
207,1,1
208,0,1
209,0,1
210,1,1
211,0,1
212,0,1
213,0,1
214,0,1
215,1,1
216,1,1
217,0,1
218,0,1
219,1,1
220,1,1
221,0,1
222,1,1
223,1,1
224,1,1
225,1,1
226,1,1
227,1,1
228,1,1
229,1,1
230,1,1
231,1,1
232,1,1
233,1,1
234,0,1
235,0,1
236,0,1
237,0,1
238,0,1
239,1,1
240,0,1
241,0,1
242,0,1
243,1,1
244,1,1
245,1,1
