S_index,pattern_finder,non_induced_motifs
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,1,1
12,1,1
13,0,1
14,1,1
15,0,1
16,0,1
17,1,1
18,0,1
19,1,1
20,0,1
21,0,1
22,0,1
23,1,1
24,1,1
25,0,1
26,0,1
27,1,1
28,0,1
29,0,1
30,0,1
31,0,1
32,1,1
33,0,1
34,1,1
35,1,1
36,0,1
37,1,1
38,1,1
39,1,1
40,0,1
41,1,1
42,1,1
43,1,1
44,0,1
45,1,1
46,1,1
47,1,1
48,0,1
49,0,1
50,0,1
51,0,1
52,1,1
53,1,1
54,0,1
55,1,1
56,0,1
57,0,1
58,1,1
59,1,1
60,1,1
61,0,1
62,1,1
63,0,1
64,0,1
65,0,1
66,1,1
67,0,1
68,0,1
69,0,1
70,0,1
71,0,1
72,1,1
73,0,1
74,1,1
75,0,1
76,0,1
77,0,1
78,1,1
79,0,1
80,1,1
81,1,1
82,0,1
83,0,1
84,0,1
85,1,1
86,1,1
87,0,1
88,1,1
89,0,1
90,0,1
91,0,1
92,0,1
93,1,1
94,0,1
95,1,1
96,0,1
97,0,1
98,1,1
99,1,1
100,0,1
101,0,1
102,0,1
103,0,1
104,0,1
105,1,1
106,0,1
107,0,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,0,1
114,1,1
115,1,1
116,1,1
117,0,1
118,0,1
119,1,1
120,1,1
121,1,1
122,0,1
123,1,1
124,1,1
125,1,1
126,0,1
127,1,1
128,1,1
129,1,1
130,0,1
131,1,1
132,1,1
133,0,1
134,1,1
135,1,1
136,0,1
137,0,1
138,1,1
139,1,1
140,1,1
141,0,1
142,1,1
143,0,1
144,1,1
145,0,1
146,0,1
147,1,1
148,0,1
149,1,1
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,0,1
157,1,1
158,1,1
159,0,1
160,0,1
161,0,1
162,1,1
163,0,1
164,1,1
165,1,1
166,0,1
167,1,1
168,0,1
169,0,1
170,0,1
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,0,1
177,0,1
178,0,1
179,0,1
180,1,1
181,1,1
182,0,1
183,1,1
184,1,1
185,0,1
186,1,1
187,1,1
188,1,1
189,0,1
190,1,1
191,0,1
192,1,1
193,0,1
194,1,1
195,0,1
196,0,1
197,0,1
198,1,1
199,1,1
200,1,1
201,1,1
202,0,1
203,1,1
204,0,1
205,1,1
206,0,1
207,1,1
208,1,1
209,1,1
210,1,1
211,1,1
212,0,1
213,0,1
214,1,1
215,1,1
216,1,1
217,0,1
218,0,1
219,0,1
220,1,1
221,1,1
222,1,1
223,1,1
224,0,1
225,0,1
226,1,1
227,0,1
228,0,1
229,1,1
230,0,1
231,1,1
232,0,1
233,0,1
234,0,1
235,1,1
236,0,1
237,0,1
238,0,1
239,1,1
240,1,1
241,1,1
242,0,1
243,0,1
244,1,1
245,0,1
